"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "Markdown", "JSON", "HTML", "MS SQL", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\Slack_clone\.github\workflows\github-actions-demo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 32, 5, 9, 46
"c:\Users\User\Desktop\Slack_clone\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\Slack_clone\dB\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 11
"c:\Users\User\Desktop\Slack_clone\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\User\Desktop\Slack_clone\features\communitySlice.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\User\Desktop\Slack_clone\features\userSlice.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\User\Desktop\Slack_clone\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\Slack_clone\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7088, 0, 0, 0, 0, 1, 7089
"c:\Users\User\Desktop\Slack_clone\package.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\User\Desktop\Slack_clone\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\Slack_clone\redux\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\User\Desktop\Slack_clone\redux\store.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 7, 38
"c:\Users\User\Desktop\Slack_clone\server.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\Users\User\Desktop\Slack_clone\server\config\connection.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\User\Desktop\Slack_clone\server\models\ChannelMember.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\User\Desktop\Slack_clone\server\models\Community.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\User\Desktop\Slack_clone\server\models\CommunityChannel.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\User\Desktop\Slack_clone\server\models\CommunityMember.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\User\Desktop\Slack_clone\server\models\CommunityPost.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\User\Desktop\Slack_clone\server\models\User.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
